Serial,EventId,InvestigationType,AccidentNumber,EventDate,Location,Country,Latitude,Longitude,AirportCode,AirportName,InjurySeverity,AircraftDamage,AircraftCategory,RegistrationNumber,Make,Model,AmateurBuilt,NumberofEngines,EngineType,FARDescription,Schedule,PurposeofFlight,AirCarrier,TotalFatalInjuries,TotalSeriousInjuries,TotalMinorInjuries,TotalUninjured,WeatherCondition,BroadPhaseofFlight,ReportStatus,PublicationDate,Random
36,20190118X92207,Accident,CEN19LA055,1/17/2019,"Fredericksburg, TX",North America,30.260556,-98.906944,T82,Gillespie County Airport,Fatal(1),Destroyed,Airplane,N2021T,Beech,36,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,MANEUVERING,Preliminary,2/4/2019,0.909588729
37,20190118X25853,Accident,GAA19CA105,1/18/2019,"Reidsville, NC",North America,36.437222,-79.851111,SIF,Rockingham County Nc Shiloh,Non-Fatal,Substantial,Airplane,N3075E,Robert R. Reiland,Rans,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,VMC,LANDING,Probable Cause,9/26/2019,0.322526071
38,20190119X05628,Accident,CEN19LA071,1/18/2019,"Beechwood, WI",North America,45.606389,-88.109167,,N/A,Non-Fatal,Substantial,Airplane,N6497P,Piper,PA24,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,VMC,,Preliminary,2/11/2019,0.883609164
39,20190119X90641,Accident,WPR19TA068B,1/19/2019,"Torrance, CA",North America,33.801389,-118.341944,TOA,Zamperini Field,Non-Fatal,Substantial,Airplane,N27GM,Rutan,VARIEZE,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,1,VMC,STANDING,Preliminary,3/14/2019,0.153422686
40,20190119X90641,Accident,WPR19TA068A,1/19/2019,"Torrance, CA",North America,33.801389,-118.341944,TOA,Zamperini Field,Non-Fatal,Minor,Airplane,N31WK,Pitts,S1,No,,Reciprocating,Part 91: General Aviation,,Personal,,,,1,1,VMC,TAXI,Preliminary,3/14/2019,0.020248475
41,20190119X93201,Accident,WPR19LA070,1/19/2019,"Roll, AZ",North America,32.829167,-113.990555,,,Non-Fatal,Substantial,Airplane,N57FX,Hill Group LLC,CCX-2000,Yes,,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,,Preliminary,2/5/2019,0.334935703
42,20190119X83245,Accident,WPR19CA067,1/19/2019,"Chino, CA",North America,33.975278,-117.635277,CNO,Chino Airport,Non-Fatal,Substantial,Airplane,N11852,Champion,7ECA,No,,Reciprocating,Part 91: General Aviation,,Personal,,,,2,,VMC,LANDING,Probable Cause,9/26/2019,0.906643619
43,20190130X55313,Accident,GAA19CA122,1/19/2019,"MIAMI, FL",North America,25.6475,-80.433334,TMB,Miami Executive,Non-Fatal,Substantial,Airplane,N734AY,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,1,VMC,LANDING,Probable Cause,11/6/2019,0.157261158
44,20190121X01656,Accident,CEN19LA060,1/19/2019,"Keshena, WI",North America,44.883611,-88.6325,,N/A,Non-Fatal,Substantial,Airplane,N97969,Stinson,108,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,2,2,,VMC,,Preliminary,2/21/2019,0.471548584
45,20190121X12203,Accident,CEN19CA062,1/19/2019,"Iron Mountain, MI",North America,45.83,-87.98,,N/A,Non-Fatal,Substantial,Airplane,N3298Z,Piper,PA 18,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,VMC,MANEUVERING,Probable Cause,9/26/2019,0.74454692
46,20190124X25455,Accident,GAA19CA115,1/20/2019,"Patterson, LA",North America,29.707222,-91.296389,PTN,HARRY P WILLIAMS MEMORIAL,Non-Fatal,Substantial,Airplane,N384TL,NAVION,NAVION,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,APPROACH,Probable Cause,9/26/2019,0.827035801
48,20190121X12852,Accident,CEN19LA063,1/20/2019,"Aguilares, TX",North America,27.448333,-99.086389,,N/A,Non-Fatal,Substantial,Airplane,N99308,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Aerial Observation,,,,1,,VMC,,Factual,11/21/2019,0.475687777
49,20190129X40818,Accident,ERA19WA090,1/21/2019,"Jaguaré County, South America",South America,-18.888611,-40.192222,,N/A,Fatal(1),Substantial,Airplane,,PIPER,PA25,No,,,"Non-U.S., Commercial",NSCH,,,1,,,,UNK,MANEUVERING,Foreign,,0.675010857
52,20190122X60433,Accident,CEN19WA057,1/21/2019,"St. Peter Port, United Kingdom",Europe,49.683889,-2.562222,,,Fatal(2),Destroyed,Airplane,N264DB,Piper,PA46,No,1,Reciprocating,Unknown,,,,2,,,,,,Foreign,,0.275057871
53,20190121X14953,Accident,CEN19LA056,1/21/2019,"Kidron, OH",North America,40.761111,-81.778889,OH22,Stoltzfus Airfield,Fatal(2),Substantial,Airplane,N467KS,DOUGLAS,DC3C,No,,Turbo Prop,Part 91: General Aviation,,Positioning,,2,,,,VMC,TAKEOFF,Preliminary,1/30/2019,0.996119467
54,20190125X52719,Accident,ANC19LA011,1/22/2019,"Anchorage, AK",North America,60.903333,-150.163611,SXQ,Soldotna,Non-Fatal,Substantial,Airplane,N7640D,Piper,PA-22-150,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,,,Preliminary,1/13/2020,0.986950737
55,20190125X53328,Accident,WPR19LA071,1/23/2019,"Ashland, OR",North America,42.066667,-122.596389,OR99,Rogue Valley Medical Center,Fatal(1),Substantial,Helicopter,N8227J,Bell,206,No,1,Turbo Shaft,Part 91: General Aviation,,Other Work Use,,1,,,,UNK,MANEUVERING,Preliminary,3/13/2019,0.12752798
56,20190125X53851,Accident,WPR19CA072,1/23/2019,"Ogden, UT",North America,41.190555,-112.007778,,,Unavailable,,Airplane,N736TB,Cessna,R172,No,,,Part 91: General Aviation,,Instructional,,,,,,,,Preliminary,3/1/2019,0.158179809
57,20190130X94929,Accident,WPR19FA077,1/25/2019,"Mt Hood, OR",North America,45.377223,-121.692777,TTD,PORTLAND-TROUTDALE,Fatal(1),Destroyed,Airplane,N1332J,ROCKWELL,112,No,,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,MANEUVERING,Preliminary,2/20/2019,0.629004004
58,20190212X55006,Accident,GAA19CA134,1/25/2019,"Troutdale, OR",North America,45.549444,-122.401389,TTD,Portland-Troutdale,Non-Fatal,Substantial,Airplane,N736QV,Cessna,R172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,9/26/2019,0.009977745
59,20190219X91818,Incident,ERA19WA103,1/25/2019,"Esmeraldas, Ecuador",South America,0.974445,-79.626945,SEES,,Incident,,Airplane,N203PR,Britten Norman,BN2B,No,2,Reciprocating,"Non-U.S., Non-Commercial",,,,,,,,,CRUISE,Foreign,,0.290796707
60,20190206X45444,Accident,GAA19CA131,1/26/2019,"Williamsburg, VA",North America,37.239166,-76.716111,JGG,Williamsburg-Jamestown,Non-Fatal,Substantial,Airplane,N6166W,Piper,PA28,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,9/26/2019,0.298860571
61,20190127X80545,Accident,GAA19CA109,1/26/2019,"Los Angeles, CA",North America,34.259444,-118.413333,WHP,Whiteman,Non-Fatal,Substantial,Airplane,N24682,Beech,B19,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Probable Cause,9/26/2019,0.861016744
62,20190128X20852,Accident,ERA19LA083,1/26/2019,"Lexington, KY",North America,38.053889,-84.573889,LEX,BLUE GRASS,Non-Fatal,Substantial,Airplane,N6136V,Beech,35,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,APPROACH,Preliminary,2/14/2019,0.367130686
63,20190131X04223,Accident,CEN19WA077,1/26/2019,"Bavispe, North America",North America,30.359722,108.925278,,N/A,Fatal(2),Substantial,Airplane,,RANS,S12,Yes,,,"Non-U.S., Non-Commercial",,,,2,,,,,CRUISE,Foreign,,0.800429238
64,20190207X71722,Accident,GAA19CA132,1/27/2019,"McGrath, AK",North America,62.786111,-154.753611,,N/A,Non-Fatal,Substantial,Airplane,N8170C,Piper,PA 18A,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,9/26/2019,0.329148022
65,20190129X14005,Accident,GAA19CA126,1/27/2019,"Selah, WA",North America,46.445833,-120.363889,PVT,Private Airstrip,Non-Fatal,Substantial,Airplane,N4087V,Cessna,170,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,APPROACH,Probable Cause,9/26/2019,0.684595875
66,20190129X82852,Accident,GAA19CA114,1/27/2019,"Anchorage, AK",North America,61.215833,-149.840277,MRI,MERRILL FIELD,Non-Fatal,Substantial,Airplane,N6716B,Piper,PA22,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,1,VMC,LANDING,Probable Cause,9/26/2019,0.692490839
67,20190127X23317,Accident,CEN19TA073,1/27/2019,"Fort Worth, TX",North America,32.755833,-97.297777,FTW,Fort Worth Meacham Internation,Non-Fatal,Substantial,Airplane,N36PS,Beech,A36,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,1,1,,VMC,APPROACH,Factual,2/27/2019,0.344486865
68,20190127X22823,Accident,CEN19LA076,1/27/2019,"Pflugerville, TX",North America,30.424167,-97.568611,EDC,Austin Executive,Non-Fatal,Substantial,Airplane,N39650,Piper,PA32RT,No,,Reciprocating,Part 91: General Aviation,,Personal,,,,1,,VMC,CRUISE,Factual,10/8/2019,0.648294855
69,20190516X72540,Accident,WPR19WA147,1/28/2019,"Mount Eliza, Australia",Australia,-37.685555,146.154167,,,Non-Fatal,Substantial,Helicopter,N173AC,Sikorsky,S64,No,,,Part 129: Foreign,,,,,,3,,,MANEUVERING,Foreign,,0.409102737
70,20190129X04200,Accident,WPR19LA076,1/28/2019,"Prospect, OR",North America,42.717223,-122.517223,64S,Prospect State Airport,Non-Fatal,Substantial,Airplane,N12037,Whittman,8-W Modified,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,1,,,VMC,TAKEOFF,Preliminary,2/4/2019,0.539796201
71,20190129X20312,Accident,WPR19FA075,1/28/2019,"Oceanside, CA",North America,33.210556,-117.369167,,,Fatal(1),Substantial,Airplane,N37RV,Piper,PA28,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,1,,,IMC,TAKEOFF,Preliminary,2/20/2019,0.811205562
73,20190129X01825,Accident,GAA19CA121,1/29/2019,"Tampa, FL",North America,28.011111,-82.344444,VDF,TAMPA EXECUTIVE,Non-Fatal,Substantial,Helicopter,N680DG,EUROCOPTER,AS 350,No,1,Turbo Shaft,Public Aircraft,,Instructional,,,,,2,VMC,LANDING,Probable Cause,9/26/2019,0.237470355
74,20190129X84125,Accident,GAA19CA120,1/29/2019,"Truckee, CA",North America,39.32,-120.139444,TRK,Truckee-Tahoe,Non-Fatal,Substantial,Airplane,N949TS,EMMET SMITH,ROADRUNNER,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,9/26/2019,0.177392131
75,20190129X43646,Accident,GAA19CA113,1/29/2019,"Reno, NV",North America,39.000556,-119.751111,MEV,Minden-Tahoe,Non-Fatal,Substantial,Airplane,N670CS,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,TAKEOFF,Factual,12/30/2019,0.729927874
77,20190130X94528,Accident,CEN19LA074B,1/29/2019,"Grand Prairie, TX",North America,32.634722,-96.970278,GPM,Grand Prairie Muni,Non-Fatal,Substantial,Airplane,N52243,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,4,VMC,CRUISE,Preliminary,1/31/2019,0.182070301
78,20190130X94528,Accident,CEN19LA074A,1/29/2019,"Grand Prairie, TX",North America,32.634722,-96.970278,GPM,Grand Prairie Muni,Non-Fatal,Substantial,Airplane,N565SP,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,4,VMC,CRUISE,Preliminary,1/31/2019,0.674753044
79,20190129X14921,Accident,CEN19FA072,1/29/2019,"Zaleski, OH",North America,39.323334,-82.309444,,N/A,Fatal(3),Destroyed,Helicopter,N191SF,Bell,407,No,1,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,,VIKING AVIATION INC (DBA: Survival Flight Inc),3,,,,UNK,CRUISE,Preliminary,2/11/2019,0.380512225
80,20190131X52154,Accident,ANC19FA012,1/29/2019,"Kake, AK",North America,56.995,-134.467223,PAFE,Kake Airport,Fatal(3),Substantial,Airplane,N13LY,Beech,200,No,,Turbo Prop,Part 91: General Aviation,,Business,,3,,,,,APPROACH,Preliminary,2/28/2019,0.15745923
81,20190206X82447,Accident,CEN19WA079,1/30/2019,"Durango, North America, North America",North America,24.170556,104.900556,MMDO,,Fatal(1),Substantial,Airplane,,CESSNA,150,No,1,Reciprocating,"Non-U.S., Non-Commercial",,,,1,,,1,,MANEUVERING,Foreign,,0.729423265
83,20190201X91949,Accident,WPR19LA078,2/1/2019,"Socorro, NM",North America,34.024445,-106.898333,ONM,Socorro Muni,Fatal(1),Substantial,Airplane,N536RH,RANS,S12,Yes,,,Part 91: General Aviation,,Personal,,1,,,,VMC,TAKEOFF,Preliminary,3/6/2019,0.833624462
84,20190202X81119,Accident,GAA19CA125,2/1/2019,"Cedar City, UT",North America,37.405,-112.909167,,N/A,Non-Fatal,Substantial,Airplane,N2333M,Piper,PA 12,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Probable Cause,9/26/2019,0.439517948
85,20190201X54524,Accident,ERA19LA093,2/1/2019,,North America,26.691389,-79.720556,,N/A,Fatal(2),Destroyed,Airplane,N3016L,Piper,PA32RT,No,1,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,IMC,MANEUVERING,Preliminary,2/19/2019,0.2678601
86,20190617X02833,Incident,GAA19WA342,2/2/2019,"Lausanne-Switzerland, Switzerland",Europe,46.7,6.916667,,N/A,Incident,,Airplane,N7779V,RAYTHEON,B200,No,,,"Non-U.S., Non-Commercial",,,,,,,2,,TAKEOFF,Foreign,,0.287904553
87,20190204X30039,Accident,ERA19LA095,2/2/2019,"Knotts Island, NC",North America,36.56,-75.92,,N/A,Non-Fatal,Substantial,Airplane,N6789F,Cessna,150,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,,Preliminary,3/15/2019,0.881368453
88,20190202X74506,Accident,ERA19LA094,2/2/2019,"Ocala, FL",North America,29.278611,-82.122223,17FL,Jumbolair,Fatal(1),Substantial,Weight-Shift,N123NY,AIRBORN Wind Sports,Edge X,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,,TAKEOFF,Preliminary,2/19/2019,0.758133201
89,20190204X12045,Accident,WPR19FA079,2/3/2019,"Yorba Linda, CA",North America,33.871945,-117.786666,,N/A,Fatal(5),Destroyed,Airplane,N414RS,Cessna,414,No,2,Reciprocating,Part 91: General Aviation,,Personal,,5,2,,,IMC,DESCENT,Preliminary,2/20/2019,0.302237805
91,20190204X15756,Accident,GAA19CA130,2/4/2019,"Hanover, VA",North America,37.708056,-77.436389,OFP,HANOVER COUNTY MUNI,Non-Fatal,Substantial,Airplane,N9525V,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,1,VMC,TAXI,Probable Cause,9/26/2019,0.30970207
92,20190206X45255,Accident,WPR19FA080,2/5/2019,"Desert Hot Springs, CA",North America,34.026111,-116.587777,,N/A,Fatal(2),Destroyed,Airplane,N20556,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,,CRUISE,Preliminary,2/22/2019,0.61916947
93,20190207X80033,Accident,WPR19TA085,2/6/2019,"Aurora, OR",North America,45.241389,-122.768611,UAO,Aurora State Airport,Non-Fatal,Substantial,Airplane,N997MA,Piper,PA46,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,2,,,VMC,APPROACH,Preliminary,3/4/2019,0.401179184
94,20190214X23640,Accident,ERA19WA101,2/6/2019,"Dom Pedrito County, South America",South America,-31.033611,-54.623056,,N/A,Fatal(2),Destroyed,Airplane,,GLOBE,GC1A,No,1,,"Non-U.S., Non-Commercial",,Other Work Use,,2,,,,VMC,,Foreign,,0.576350477
96,20190209X04832,Accident,WPR19FA083,2/8/2019,"Diablo, CA",North America,37.871945,-121.924445,,N/A,Fatal(1),Destroyed,Airplane,N3270F,Mooney,M20F,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,,,,VMC,CRUISE,Preliminary,2/26/2019,0.613578269
97,20190209X20133,Accident,GAA19CA133,2/8/2019,"Page, AZ",North America,36.735833,-111.395555,,N/A,Non-Fatal,Substantial,Airplane,N995BW,Denney,KITFOX IV SPEEDSTER,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Probable Cause,9/26/2019,0.279708696
98,20190211X72201,Accident,ERA19LA097,2/8/2019,"Vero Beach, FL",North America,27.664167,-80.424723,VRB,Vero Beach Rgnl,Non-Fatal,Substantial,Airplane,N9219J,PIPER,PA28,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,APPROACH,Factual,4/10/2019,0.630354618
